"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 04 06:41:15 UTC 2024","Sat May 04 06:45:31 UTC 2024","256155","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat May 04 06:35:53 UTC 2024","Sat May 04 06:36:02 UTC 2024","9847","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"failed","Sat May 04 06:36:02 UTC 2024","Sat May 04 06:38:35 UTC 2024","152171","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Sat May 04 08:19:02 UTC 2024","Sat May 04 08:19:02 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat May 04 06:48:12 UTC 2024","Sat May 04 06:48:14 UTC 2024","2379","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Sat May 04 05:57:56 UTC 2024","Sat May 04 05:57:56 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat May 04 05:39:19 UTC 2024","Sat May 04 05:40:23 UTC 2024","64814","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat May 04 06:35:25 UTC 2024","Sat May 04 06:35:29 UTC 2024","4406","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat May 04 06:35:06 UTC 2024","Sat May 04 06:35:16 UTC 2024","10343","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Sat May 04 08:19:02 UTC 2024","Sat May 04 08:19:02 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat May 04 05:41:50 UTC 2024","Sat May 04 05:42:06 UTC 2024","16391","","9. Client Portal - Home","","","","1. Check links",""
"broken","Sat May 04 08:19:02 UTC 2024","Sat May 04 08:19:02 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
